feature,importance
months_since_last_incident,11.982939824297803
lifetime_incident_rate,7.0372581944642585
months_in_company,6.105681439990451
lifetime_trips_cnt,5.276004424823367
lifetime_incidents_cnt,5.214149348540693
trips_prev_3m,4.990114403022502
mpg_drop_ratio,4.739297989649319
trips_prev_12m,4.490037843466223
trips_prev_6m,4.215893183459018
detention_minutes_avg,4.129761361528788
average_mpg,3.7940200888351256
ontime_drop_ratio,3.764579153344512
idle_spike_ratio,3.3352976750023515
truck_churn_rate,3.1539502666286667
on_time_delivery_rate,2.918818049230391
detention_minutes_sum,2.8917003043901537
average_idle_hours,2.805552556293656
incident_rate_prev_12m,2.405299702803526
month_sin,2.2062998250065706
total_revenue,2.1760138661082173
month_cos,1.9393582665449542
total_fuel_gallons,1.6527733968183933
trips_completed,1.61348857189137
total_miles,1.6132044386616973
quarter,1.033063268935015
incident_rate_prev_6m,1.0156875795693432
unique_trucks,0.9473539958873604
incidents_prev_12m,0.6331205716629138
incidents_prev_6m,0.5884827981913499
is_high_season,0.4959957774259066
incident_rate_prev_3m,0.4312144842703026
incidents_prev_3m,0.4035873492557897
