driver_id,as_of_month,prob_3m,y_true_3m
DRV00036,2024-09-01,0.9115966975163304,1
DRV00002,2024-09-01,0.9108585917869286,1
DRV00118,2024-09-01,0.8884237533643847,1
DRV00043,2024-09-01,0.8815863749014963,1
DRV00138,2024-09-01,0.8745980724984334,1
DRV00004,2024-09-01,0.843517284498775,1
DRV00132,2024-09-01,0.6701469369564466,0
DRV00066,2024-09-01,0.6363955007606007,0
DRV00119,2024-09-01,0.5847360210406543,1
DRV00058,2024-09-01,0.5677102462940812,0
DRV00090,2024-09-01,0.559002102617567,0
DRV00060,2024-09-01,0.522500934153811,0
DRV00100,2024-09-01,0.5216815794294022,0
DRV00003,2024-09-01,0.5113499352693422,0
DRV00051,2024-09-01,0.4971606975385334,0
DRV00012,2024-09-01,0.4814111246666602,0
DRV00088,2024-09-01,0.4708564220068293,0
DRV00018,2024-09-01,0.452930757478291,0
DRV00122,2024-09-01,0.41902944125492,0
DRV00075,2024-09-01,0.4146179557504878,0
DRV00129,2024-09-01,0.4137610901852781,0
DRV00108,2024-09-01,0.4097549152483165,0
DRV00101,2024-09-01,0.4003707769733736,0
DRV00082,2024-09-01,0.3940927878538252,0
DRV00038,2024-09-01,0.3924948790388776,0
DRV00124,2024-09-01,0.3767002237305853,0
DRV00078,2024-09-01,0.3657425884420679,0
DRV00016,2024-09-01,0.3600832865122889,0
DRV00080,2024-09-01,0.3541330085590271,0
DRV00121,2024-09-01,0.351473500061767,0
DRV00049,2024-09-01,0.351338248254056,0
DRV00032,2024-09-01,0.3481494941950489,0
DRV00130,2024-09-01,0.3458166216287433,0
DRV00114,2024-09-01,0.3369725483602056,0
DRV00070,2024-09-01,0.3361740303061079,0
DRV00059,2024-09-01,0.3349696522933574,0
DRV00095,2024-09-01,0.3311199168400572,1
DRV00022,2024-09-01,0.324697331996561,0
DRV00105,2024-09-01,0.3241758837267628,0
DRV00050,2024-09-01,0.3221905621444542,0
DRV00028,2024-09-01,0.322140323050725,1
DRV00133,2024-09-01,0.3194277416734727,0
DRV00015,2024-09-01,0.3193500746555546,0
DRV00025,2024-09-01,0.3193146045639708,0
DRV00084,2024-09-01,0.3183425159890807,0
DRV00139,2024-09-01,0.3121909228500507,0
DRV00020,2024-09-01,0.3115509335544305,0
DRV00102,2024-09-01,0.3109871105942283,1
DRV00097,2024-09-01,0.3108909359903782,0
DRV00017,2024-09-01,0.3094879427711887,0
DRV00041,2024-09-01,0.302568298342723,0
DRV00123,2024-09-01,0.3019446300789515,0
DRV00074,2024-09-01,0.2996708897451736,0
DRV00033,2024-09-01,0.2952377254496896,0
DRV00142,2024-09-01,0.2943432310809083,0
DRV00061,2024-09-01,0.2930428010883989,0
DRV00109,2024-09-01,0.292437285515876,0
DRV00024,2024-09-01,0.292127495475167,0
DRV00039,2024-09-01,0.2897736760734777,0
DRV00117,2024-09-01,0.2878592757565061,0
DRV00055,2024-09-01,0.2863615136945587,0
DRV00085,2024-09-01,0.2850783940229089,0
DRV00089,2024-09-01,0.2817475866153203,0
DRV00111,2024-09-01,0.2815239523622693,0
DRV00127,2024-09-01,0.2800125559034028,1
DRV00141,2024-09-01,0.2796777590512215,1
DRV00026,2024-09-01,0.2788123757162148,0
DRV00094,2024-09-01,0.2784455837127798,0
DRV00064,2024-09-01,0.2783948559160626,0
DRV00037,2024-09-01,0.2770429127321572,0
DRV00062,2024-09-01,0.2761079079101577,0
DRV00035,2024-09-01,0.275518455241805,0
DRV00019,2024-09-01,0.275365633561698,0
DRV00107,2024-09-01,0.2744313205053589,0
DRV00087,2024-09-01,0.2663662710823695,0
DRV00009,2024-09-01,0.2642825231405402,0
DRV00120,2024-09-01,0.261097632595795,0
DRV00010,2024-09-01,0.2590371133380258,0
DRV00054,2024-09-01,0.2565020495428851,0
DRV00099,2024-09-01,0.255109047148936,0
DRV00150,2024-09-01,0.2542638475132217,0
DRV00083,2024-09-01,0.252628410824479,0
DRV00063,2024-09-01,0.2522455160687918,0
DRV00030,2024-09-01,0.2501910784820902,0
DRV00014,2024-09-01,0.2487616735517053,0
DRV00110,2024-09-01,0.2471730500026412,0
DRV00045,2024-09-01,0.2471464053653308,0
DRV00057,2024-09-01,0.2455054454146693,0
DRV00013,2024-09-01,0.2429598227463662,0
DRV00023,2024-09-01,0.2418130558080319,0
DRV00112,2024-09-01,0.241167690530281,0
DRV00098,2024-09-01,0.238154218515089,1
DRV00091,2024-09-01,0.2345147231005121,0
DRV00029,2024-09-01,0.2343480580596062,0
DRV00077,2024-09-01,0.233847879912232,0
DRV00053,2024-09-01,0.2330689929867119,0
DRV00056,2024-09-01,0.2312365146708626,0
DRV00148,2024-09-01,0.2306873470495946,0
DRV00149,2024-09-01,0.2306818664590436,0
DRV00001,2024-09-01,0.2271979635671883,0
DRV00104,2024-09-01,0.2232725798820175,0
DRV00071,2024-09-01,0.2218047967625062,0
DRV00103,2024-09-01,0.2175837984871143,0
DRV00125,2024-09-01,0.217348342395467,0
DRV00011,2024-09-01,0.2165346284587032,0
DRV00113,2024-09-01,0.2133595117794657,0
DRV00006,2024-09-01,0.2103710138541449,0
DRV00047,2024-09-01,0.2037800526852939,0
DRV00128,2024-09-01,0.201813208670826,0
DRV00092,2024-09-01,0.1978169850655864,0
DRV00126,2024-09-01,0.1963148698482078,0
DRV00034,2024-09-01,0.1950972804118505,0
DRV00044,2024-09-01,0.1941444692493164,0
DRV00147,2024-09-01,0.1927791725545601,1
DRV00069,2024-09-01,0.1923352041648986,0
DRV00143,2024-09-01,0.1921625247936479,0
DRV00145,2024-09-01,0.1913716291358496,0
DRV00079,2024-09-01,0.1908289389830242,0
DRV00134,2024-09-01,0.1840969945871803,0
DRV00081,2024-09-01,0.1680999784195593,0
DRV00146,2024-09-01,0.1631065663872568,0
DRV00065,2024-09-01,0.1532003604052103,0
DRV00005,2024-09-01,0.1425898552734706,0
DRV00144,2024-09-01,0.1344382208257414,0
