feature,importance
months_since_last_incident,0.15707735415139537
incidents_prev_3m,0.1008863918820738
incident_rate_prev_3m,0.06760506539563928
incidents_prev_6m,0.06310104272147186
average_idle_hours,0.054932609151950015
trips_prev_3m,0.05450818708434521
trips_prev_12m,0.049154976606787984
trips_completed,0.04844819088324749
incident_rate_prev_12m,0.04788492133798173
incident_rate_prev_6m,0.047549826574176515
trips_prev_6m,0.047256851154890075
average_mpg,0.04599427658254708
on_time_delivery_rate,0.04503444733549363
total_miles,0.043423882064004535
incidents_prev_12m,0.043344471333206375
total_fuel_gallons,0.04287604367146621
total_revenue,0.04092146206932294
