model,agg,n_drivers,positives,base_rate,roc_auc,ap,tp@5,fn@5,miss_rate@5,precision@5,recall@5,tp@10,fn@10,miss_rate@10,precision@10,recall@10,tp@20,fn@20,miss_rate@20,precision@20,recall@20,tp@30,fn@30,miss_rate@30,precision@30,recall@30,tp@50,fn@50,miss_rate@50,precision@50,recall@50,tp@100,fn@100,miss_rate@100,precision@100,recall@100
catboost,last,124.0,35.0,0.28225806451612906,0.6459069020866774,0.4826152680560098,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,6.0,29.0,0.8285714285714286,0.6,0.17142857142857143,9.0,26.0,0.7428571428571429,0.45,0.2571428571428571,11.0,24.0,0.6857142857142857,0.36666666666666664,0.3142857142857143,19.0,16.0,0.45714285714285713,0.38,0.5428571428571428,33.0,2.0,0.05714285714285714,0.33,0.9428571428571428
catboost,max,124.0,35.0,0.28225806451612906,0.9126805778491172,0.8987299959856351,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,20.0,15.0,0.42857142857142855,1.0,0.5714285714285714,28.0,7.0,0.2,0.9333333333333333,0.8,30.0,5.0,0.14285714285714285,0.6,0.8571428571428571,35.0,0.0,0.0,0.35,1.0
catboost,mean,124.0,35.0,0.28225806451612906,0.8991974317817015,0.85762680663847,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,18.0,17.0,0.4857142857142857,0.9,0.5142857142857142,26.0,9.0,0.2571428571428571,0.8666666666666667,0.7428571428571429,29.0,6.0,0.17142857142857143,0.58,0.8285714285714286,35.0,0.0,0.0,0.35,1.0
catboost,topq_mean,124.0,35.0,0.28225806451612906,0.9040128410914927,0.8752461015060815,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,19.0,16.0,0.45714285714285713,0.95,0.5428571428571428,28.0,7.0,0.2,0.9333333333333333,0.8,29.0,6.0,0.17142857142857143,0.58,0.8285714285714286,34.0,1.0,0.02857142857142857,0.34,0.9714285714285714
easyensemble,last,124.0,35.0,0.28225806451612906,0.8699839486356341,0.8102914224802682,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,17.0,18.0,0.5142857142857142,0.85,0.4857142857142857,22.0,13.0,0.37142857142857144,0.7333333333333333,0.6285714285714286,30.0,5.0,0.14285714285714285,0.6,0.8571428571428571,34.0,1.0,0.02857142857142857,0.34,0.9714285714285714
easyensemble,max,124.0,35.0,0.28225806451612906,0.919422150882825,0.9101140606895894,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,20.0,15.0,0.42857142857142855,1.0,0.5714285714285714,29.0,6.0,0.17142857142857143,0.9666666666666667,0.8285714285714286,30.0,5.0,0.14285714285714285,0.6,0.8571428571428571,34.0,1.0,0.02857142857142857,0.34,0.9714285714285714
easyensemble,mean,124.0,35.0,0.28225806451612906,0.909470304975923,0.9058069317232116,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,20.0,15.0,0.42857142857142855,1.0,0.5714285714285714,29.0,6.0,0.17142857142857143,0.9666666666666667,0.8285714285714286,30.0,5.0,0.14285714285714285,0.6,0.8571428571428571,33.0,2.0,0.05714285714285714,0.33,0.9428571428571428
easyensemble,topq_mean,124.0,35.0,0.28225806451612906,0.9136436597110754,0.9069374625863547,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,20.0,15.0,0.42857142857142855,1.0,0.5714285714285714,28.0,7.0,0.2,0.9333333333333333,0.8,30.0,5.0,0.14285714285714285,0.6,0.8571428571428571,33.0,2.0,0.05714285714285714,0.33,0.9428571428571428
extratrees,last,124.0,35.0,0.28225806451612906,0.8645264847512037,0.7959713263908015,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,18.0,17.0,0.4857142857142857,0.9,0.5142857142857142,21.0,14.0,0.4,0.7,0.6,28.0,7.0,0.2,0.56,0.8,34.0,1.0,0.02857142857142857,0.34,0.9714285714285714
extratrees,max,124.0,35.0,0.28225806451612906,0.9123595505617978,0.9063364884310104,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,20.0,15.0,0.42857142857142855,1.0,0.5714285714285714,29.0,6.0,0.17142857142857143,0.9666666666666667,0.8285714285714286,30.0,5.0,0.14285714285714285,0.6,0.8571428571428571,34.0,1.0,0.02857142857142857,0.34,0.9714285714285714
