driver_id,as_of_month,prob_3m,y_true_3m
DRV00036,2024-09-01,0.99897563,1
DRV00118,2024-09-01,0.9984162,1
DRV00002,2024-09-01,0.99741876,1
DRV00004,2024-09-01,0.99735475,1
DRV00043,2024-09-01,0.9949185,1
DRV00138,2024-09-01,0.9906527,1
DRV00108,2024-09-01,0.7102123,0
DRV00015,2024-09-01,0.5961186,0
DRV00059,2024-09-01,0.5182571,0
DRV00041,2024-09-01,0.5124494,0
DRV00088,2024-09-01,0.47745994,0
DRV00124,2024-09-01,0.4726364,0
DRV00075,2024-09-01,0.4617383,0
DRV00078,2024-09-01,0.38844982,0
DRV00082,2024-09-01,0.3851818,0
DRV00024,2024-09-01,0.376953,0
DRV00130,2024-09-01,0.34336638,0
DRV00149,2024-09-01,0.32066748,0
DRV00142,2024-09-01,0.29611978,0
DRV00062,2024-09-01,0.27148747,0
DRV00064,2024-09-01,0.2554546,0
DRV00058,2024-09-01,0.25503704,0
DRV00017,2024-09-01,0.25219417,0
DRV00023,2024-09-01,0.20383157,0
DRV00061,2024-09-01,0.19804986,0
DRV00012,2024-09-01,0.19649674,0
DRV00094,2024-09-01,0.19188203,0
DRV00053,2024-09-01,0.1736544,0
DRV00133,2024-09-01,0.17215137,0
DRV00089,2024-09-01,0.16511543,0
DRV00014,2024-09-01,0.15230738,0
DRV00016,2024-09-01,0.1494112,0
DRV00049,2024-09-01,0.1480971,0
DRV00047,2024-09-01,0.1441074,0
DRV00114,2024-09-01,0.1412742,0
DRV00102,2024-09-01,0.12428851,1
DRV00080,2024-09-01,0.120600276,0
DRV00074,2024-09-01,0.12042327,0
DRV00070,2024-09-01,0.11441565,0
DRV00044,2024-09-01,0.10577065,0
DRV00038,2024-09-01,0.102530636,0
DRV00084,2024-09-01,0.10173261,0
DRV00107,2024-09-01,0.09968126,0
DRV00090,2024-09-01,0.09833694,0
DRV00050,2024-09-01,0.094598055,0
DRV00119,2024-09-01,0.090252586,1
DRV00011,2024-09-01,0.08944183,0
DRV00028,2024-09-01,0.08657941,1
DRV00056,2024-09-01,0.08541102,0
DRV00121,2024-09-01,0.085033394,0
DRV00032,2024-09-01,0.07949306,0
DRV00033,2024-09-01,0.07879428,0
DRV00104,2024-09-01,0.07805426,0
DRV00020,2024-09-01,0.077045985,0
DRV00045,2024-09-01,0.07606276,0
DRV00095,2024-09-01,0.07560424,1
DRV00037,2024-09-01,0.072212376,0
DRV00101,2024-09-01,0.0720306,0
DRV00097,2024-09-01,0.071477026,0
DRV00143,2024-09-01,0.06835985,0
DRV00129,2024-09-01,0.06658306,0
DRV00110,2024-09-01,0.06396931,0
DRV00099,2024-09-01,0.059867825,0
DRV00132,2024-09-01,0.059421957,0
DRV00112,2024-09-01,0.058125757,0
DRV00055,2024-09-01,0.05646004,0
DRV00030,2024-09-01,0.05433766,0
DRV00060,2024-09-01,0.05239286,0
DRV00122,2024-09-01,0.049913224,0
DRV00013,2024-09-01,0.04941668,0
DRV00039,2024-09-01,0.047781866,0
DRV00128,2024-09-01,0.04761191,0
DRV00051,2024-09-01,0.046476252,0
DRV00109,2024-09-01,0.04538361,0
DRV00147,2024-09-01,0.045265343,1
DRV00139,2024-09-01,0.044094842,0
DRV00069,2024-09-01,0.04243757,0
DRV00092,2024-09-01,0.040514678,0
DRV00126,2024-09-01,0.036891002,0
DRV00022,2024-09-01,0.03545756,0
DRV00057,2024-09-01,0.03504925,0
DRV00026,2024-09-01,0.033897594,0
DRV00025,2024-09-01,0.032998756,0
DRV00100,2024-09-01,0.031782098,0
DRV00146,2024-09-01,0.030715391,0
DRV00120,2024-09-01,0.030499125,0
DRV00071,2024-09-01,0.026612863,0
DRV00054,2024-09-01,0.025614403,0
DRV00127,2024-09-01,0.025303302,1
DRV00077,2024-09-01,0.0240876,0
DRV00079,2024-09-01,0.02333133,0
DRV00111,2024-09-01,0.02065375,0
DRV00018,2024-09-01,0.020333137,0
DRV00009,2024-09-01,0.019565117,0
DRV00010,2024-09-01,0.019469539,0
DRV00117,2024-09-01,0.01920096,0
DRV00003,2024-09-01,0.019163689,0
DRV00103,2024-09-01,0.018457241,0
DRV00145,2024-09-01,0.017930439,0
DRV00144,2024-09-01,0.017086439,0
DRV00006,2024-09-01,0.01690193,0
DRV00150,2024-09-01,0.016827952,0
DRV00134,2024-09-01,0.016336733,0
DRV00065,2024-09-01,0.015895685,0
DRV00034,2024-09-01,0.015666038,0
DRV00141,2024-09-01,0.015478827,1
DRV00148,2024-09-01,0.015452259,0
DRV00035,2024-09-01,0.012924536,0
DRV00123,2024-09-01,0.012532363,0
DRV00105,2024-09-01,0.011119381,0
DRV00087,2024-09-01,0.009174988,0
DRV00063,2024-09-01,0.008743466,0
DRV00125,2024-09-01,0.008438614,0
DRV00113,2024-09-01,0.008426127,0
DRV00019,2024-09-01,0.008230082,0
DRV00066,2024-09-01,0.008134009,0
DRV00098,2024-09-01,0.007482277,1
DRV00029,2024-09-01,0.0072150393,0
DRV00081,2024-09-01,0.0064437236,0
DRV00083,2024-09-01,0.006174051,0
DRV00001,2024-09-01,0.0058357795,0
DRV00091,2024-09-01,0.0046571963,0
DRV00085,2024-09-01,0.0033858984,0
DRV00005,2024-09-01,0.0009638985,0
