driver_id,y_true,score,n_months
DRV00119,1,0.9996178,6
DRV00088,1,0.9987275,6
DRV00101,1,0.99858,6
DRV00066,1,0.9984092,6
DRV00129,1,0.9984035,6
DRV00003,1,0.9981901,6
DRV00094,1,0.99800843,6
DRV00051,1,0.9976889,6
DRV00002,1,0.99737346,6
DRV00018,1,0.9972711,6
DRV00100,1,0.99698097,6
DRV00133,1,0.99686915,6
DRV00004,1,0.99676895,6
DRV00038,1,0.99653673,6
DRV00058,1,0.99576265,6
DRV00132,1,0.99500966,6
DRV00060,1,0.9943606,6
DRV00036,1,0.9942673,6
DRV00074,1,0.9920906,6
DRV00105,1,0.99177504,6
DRV00070,1,0.9880563,6
DRV00118,1,0.98428345,6
DRV00043,1,0.9837964,6
DRV00089,1,0.97669744,6
DRV00139,1,0.97663736,6
DRV00122,1,0.97455037,6
DRV00090,1,0.9643071,6
DRV00138,1,0.9617099,6
DRV00143,0,0.92737645,6
DRV00130,0,0.578759,6
DRV00141,1,0.4446486,6
DRV00010,0,0.4422581,6
DRV00057,0,0.43963543,6
DRV00097,0,0.4342451,6
DRV00005,0,0.4318681,6
DRV00069,0,0.4133703,6
DRV00064,0,0.4091235,6
DRV00121,0,0.3711989,6
DRV00011,0,0.3451068,6
DRV00142,0,0.33522987,6
DRV00095,1,0.32092178,6
DRV00062,0,0.30839986,6
DRV00117,0,0.27399725,6
DRV00013,0,0.2627552,6
DRV00041,0,0.25804672,6
DRV00125,0,0.24055481,6
DRV00123,0,0.23142877,6
DRV00035,0,0.22724158,6
DRV00015,0,0.22497149,6
DRV00014,0,0.20025851,6
DRV00098,1,0.20018496,6
DRV00075,0,0.1910366,6
DRV00104,0,0.18869203,6
DRV00050,0,0.17766637,6
DRV00017,0,0.17709252,6
DRV00056,0,0.17581837,6
DRV00113,0,0.16042137,6
DRV00053,0,0.15978575,6
DRV00039,0,0.15219231,6
DRV00054,0,0.15195784,6
DRV00029,0,0.15113111,6
DRV00147,1,0.14893262,6
DRV00145,0,0.14563464,6
DRV00128,0,0.14168449,6
DRV00049,0,0.14065202,6
DRV00084,0,0.14060786,6
DRV00102,1,0.13599099,6
DRV00149,0,0.13373299,6
DRV00110,0,0.1310126,6
DRV00114,0,0.1287409,6
DRV00107,0,0.121445596,6
DRV00099,0,0.120801404,6
DRV00148,0,0.11938908,6
DRV00022,0,0.119386144,6
DRV00012,0,0.113761485,6
DRV00047,0,0.11297202,6
DRV00082,0,0.11196422,6
DRV00063,0,0.11162797,6
DRV00045,0,0.1116001,6
DRV00077,0,0.10757462,6
DRV00112,0,0.10155261,6
DRV00009,0,0.100885175,6
DRV00124,0,0.10082702,6
DRV00080,0,0.093887866,6
DRV00065,0,0.09372271,6
DRV00108,0,0.09222035,6
DRV00103,0,0.091535024,6
DRV00144,0,0.09066466,6
DRV00016,0,0.08589995,6
DRV00083,0,0.08399984,6
DRV00109,0,0.081610896,6
DRV00055,0,0.08029341,6
DRV00028,1,0.07991516,6
DRV00092,0,0.07970293,6
DRV00001,0,0.07349163,6
DRV00033,0,0.070845105,6
DRV00024,0,0.07048405,6
DRV00061,0,0.07011725,6
DRV00026,0,0.06936716,6
DRV00078,0,0.06574531,6
DRV00059,0,0.06251558,6
DRV00032,0,0.061560493,6
DRV00150,0,0.060815796,6
DRV00044,0,0.05774072,6
DRV00087,0,0.054598354,6
DRV00127,1,0.052759077,6
DRV00111,0,0.050611824,6
DRV00091,0,0.041824795,6
DRV00030,0,0.039494384,6
DRV00034,0,0.039034627,6
DRV00126,0,0.038801987,6
DRV00134,0,0.03454401,6
DRV00025,0,0.034221727,6
DRV00019,0,0.031192046,6
DRV00071,0,0.025296612,6
DRV00079,0,0.02336855,6
DRV00081,0,0.022468695,6
DRV00037,0,0.02209539,6
DRV00146,0,0.0203349,6
DRV00120,0,0.0198547,6
DRV00085,0,0.018607777,6
DRV00006,0,0.0124338465,6
DRV00020,0,0.0068662255,6
DRV00023,0,0.006496617,6
