feature_name,gain
months_since_last_incident,36.918067932128906
incident_rate_prev_3m,15.438652992248535
lifetime_incidents_cnt,9.887199401855469
incidents_prev_12m,8.990863800048828
lifetime_trips_cnt,8.802787780761719
incident_rate_prev_12m,8.452957153320312
detention_minutes_sum,7.914152145385742
months_in_company,7.765026092529297
lifetime_incident_rate,7.729254722595215
incidents_prev_6m,7.6439971923828125
incident_rate_prev_6m,7.261919021606445
trips_prev_6m,7.131728172302246
trips_completed,7.122820854187012
trips_prev_12m,6.998281955718994
average_mpg,6.898282527923584
average_idle_hours,6.884617328643799
incidents_prev_3m,6.872572898864746
trips_prev_3m,6.861176490783691
truck_churn_rate,6.630117893218994
unique_trucks,6.578314304351807
mpg_drop_ratio,6.47032356262207
ontime_drop_ratio,6.459051609039307
detention_minutes_avg,6.260602951049805
total_fuel_gallons,5.972075939178467
on_time_delivery_rate,5.788408279418945
total_revenue,5.661484718322754
total_miles,5.555208206176758
idle_spike_ratio,5.553021430969238
